starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 17:24:55 2020	1603952695	23	309	333	309
Thu Oct 29 17:25:26 2020	1603952726	22	311	333	311
Thu Oct 29 17:25:36 2020	1603952736	23	310	333	309
Thu Oct 29 17:25:40 2020	1603952740	21	312	333	312
Thu Oct 29 17:25:11 2020	1603952711	24	309	333	309
Thu Oct 29 17:26:06 2020	1603952766	26	308	333	307
Thu Oct 29 17:25:24 2020	1603952724	20	313	333	312
Thu Oct 29 17:24:54 2020	1603952694	25	308	333	308
Thu Oct 29 17:25:16 2020	1603952716	23	310	333	310
Thu Oct 29 17:25:29 2020	1603952729	22	312	333	312
Thu Oct 29 17:26:02 2020	1603952762	25	308	333	308
Thu Oct 29 17:25:49 2020	1603952749	22	312	333	311
Thu Oct 29 17:25:44 2020	1603952744	22	312	333	311
Thu Oct 29 17:25:54 2020	1603952754	22	311	333	311
Thu Oct 29 17:24:41 2020	1603952681	24	309	333	309
Thu Oct 29 17:25:35 2020	1603952735	21	312	333	312
Thu Oct 29 17:25:02 2020	1603952702	21	312	333	312
Thu Oct 29 17:24:45 2020	1603952685	25	309	333	308
Thu Oct 29 17:25:04 2020	1603952704	24	310	334	310
Thu Oct 29 17:25:34 2020	1603952734	24	309	334	309
Thu Oct 29 17:25:31 2020	1603952731	24	310	334	310
Thu Oct 29 17:25:10 2020	1603952710	21	313	334	312
Thu Oct 29 17:25:11 2020	1603952711	23	311	334	310
Thu Oct 29 17:25:11 2020	1603952711	25	309	334	309
Thu Oct 29 17:25:05 2020	1603952705	26	308	334	308
Thu Oct 29 17:25:34 2020	1603952734	25	309	334	309
Thu Oct 29 17:25:36 2020	1603952736	23	311	334	311
Thu Oct 29 17:25:06 2020	1603952706	25	309	334	309
Thu Oct 29 17:25:31 2020	1603952731	23	311	334	311
Thu Oct 29 17:25:11 2020	1603952711	22	312	334	312
Thu Oct 29 17:25:32 2020	1603952732	22	312	334	312
Thu Oct 29 17:25:24 2020	1603952724	26	308	334	308
Thu Oct 29 17:25:02 2020	1603952702	20	314	334	314
Thu Oct 29 17:24:51 2020	1603952691	23	311	334	311
Thu Oct 29 17:24:38 2020	1603952678	20	314	334	314
Thu Oct 29 17:26:02 2020	1603952762	24	311	334	310
Thu Oct 29 17:25:29 2020	1603952729	22	313	334	313
Thu Oct 29 17:25:50 2020	1603952750	23	311	334	311
Thu Oct 29 17:25:20 2020	1603952720	22	312	334	312
Thu Oct 29 17:25:29 2020	1603952729	26	309	335	308
Thu Oct 29 17:26:03 2020	1603952763	23	312	335	312
Thu Oct 29 17:25:29 2020	1603952729	22	313	335	313
Thu Oct 29 17:24:57 2020	1603952697	26	309	335	309
Thu Oct 29 17:25:54 2020	1603952754	24	311	335	311
Thu Oct 29 17:25:12 2020	1603952712	25	310	335	310
Thu Oct 29 17:24:40 2020	1603952680	25	310	335	310
Thu Oct 29 17:24:39 2020	1603952679	24	311	335	311
Thu Oct 29 17:25:41 2020	1603952741	21	314	335	314
Thu Oct 29 17:24:48 2020	1603952688	24	311	335	311
Thu Oct 29 17:24:55 2020	1603952695	24	311	335	311
Thu Oct 29 17:25:14 2020	1603952714	21	314	335	314
Thu Oct 29 17:25:58 2020	1603952758	22	313	335	313
Thu Oct 29 17:26:01 2020	1603952761	23	313	335	312
Thu Oct 29 17:24:44 2020	1603952684	25	311	335	311
Thu Oct 29 17:25:22 2020	1603952722	25	311	335	310
Thu Oct 29 17:25:03 2020	1603952703	21	314	335	314
Thu Oct 29 17:26:03 2020	1603952763	21	315	336	315
Thu Oct 29 17:25:39 2020	1603952739	22	313	336	313
Thu Oct 29 17:25:13 2020	1603952713	26	310	336	310
Thu Oct 29 17:25:08 2020	1603952708	23	313	336	313
Thu Oct 29 17:24:57 2020	1603952697	25	310	336	310
Thu Oct 29 17:25:46 2020	1603952746	25	310	336	310
Thu Oct 29 17:25:58 2020	1603952758	21	315	336	315
Thu Oct 29 17:25:07 2020	1603952707	23	313	336	313
Thu Oct 29 17:25:11 2020	1603952711	24	312	336	311
Thu Oct 29 17:25:46 2020	1603952746	23	313	336	313
Thu Oct 29 17:24:57 2020	1603952697	23	313	336	313
Thu Oct 29 17:25:40 2020	1603952740	22	314	336	313
Thu Oct 29 17:24:39 2020	1603952679	24	312	336	312
Thu Oct 29 17:25:27 2020	1603952727	23	313	336	312
Thu Oct 29 17:25:59 2020	1603952759	20	316	336	316
Thu Oct 29 17:24:36 2020	1603952676	26	310	336	310
Thu Oct 29 17:26:07 2020	1603952767	23	314	336	313
Thu Oct 29 17:26:02 2020	1603952762	20	316	336	316
Thu Oct 29 17:24:43 2020	1603952683	24	312	336	312
Thu Oct 29 17:25:01 2020	1603952701	24	312	336	312
Thu Oct 29 17:26:01 2020	1603952761	22	314	336	314
Thu Oct 29 17:25:28 2020	1603952728	22	314	336	314
Thu Oct 29 17:25:58 2020	1603952758	23	314	336	313
Thu Oct 29 17:25:11 2020	1603952711	21	315	336	315
Thu Oct 29 17:24:51 2020	1603952691	27	309	336	309
Thu Oct 29 17:24:39 2020	1603952679	20	316	336	316
Thu Oct 29 17:25:26 2020	1603952726	21	316	336	315
